#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_103_length_2701_cov_43.967120	603	1249	nleG7'	1-648/648	========/======	1/1	99.85	99.85	vfdb	NP_287535
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_105_length_2510_cov_97.328717	919	1188	stx2B	1-270/270	===============	0/0	100.00	100.00	vfdb	NP_286977
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_105_length_2510_cov_97.328717	1200	2159	stx2A	1-960/960	===============	0/0	100.00	100.00	vfdb	NP_286976
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_10_length_169063_cov_75.342268	37381	37809	luxS	1-429/519	=============..	0/0	82.66	70.86	vfdb	NP_230208
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_115_length_2389_cov_84.082691	444	1805	espK	1-1362/1362	===============	0/0	100.00	100.00	vfdb	NP_287316
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	893	1488	espF	1-614/747	========/====..	2/18	79.79	94.95	vfdb	NP_290250
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	1573	1851	escG	1-279/279	===============	0/0	100.00	100.00	vfdb	NP_290251
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	1857	2078	escF	1-222/222	===============	0/0	100.00	100.00	vfdb	NP_290252
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	2114	2521	cesD2	1-408/408	===============	0/0	100.00	100.00	vfdb	NP_290253
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	2528	3466	espB	1-939/939	===============	0/0	100.00	100.00	vfdb	NP_290254
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	3487	4611	espD	1-1125/1125	===============	0/0	100.00	100.00	vfdb	NP_290255
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	4624	5202	espA	1-579/579	===============	0/0	100.00	100.00	vfdb	NP_290256
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	5261	6316	sepL	1-1056/1056	===============	0/0	100.00	100.00	vfdb	NP_290257
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	6459	7679	escD	1-1221/1221	===============	0/0	100.00	100.00	vfdb	NP_290258
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034240/contigs.fasta	NODE_12_length_146636_cov_71.401805	8343	10747	eae	1-2401/2820	========/====..	9/20	84.86	91.38	vfdb	AAC38392
