#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	97184	97930	entA	1-747/747	===============	0/0	100.00	96.12	vfdb	NP_752614
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	97930	98787	entB	1-858/858	===============	0/0	100.00	98.14	vfdb	NP_752613
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	98801	100411	entE	1-1611/1611	===============	0/0	100.00	95.41	vfdb	NP_752612
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	100421	101608	entC	1-1188/1188	===============	0/0	100.00	98.15	vfdb	NP_752611
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	101785	102741	fepB	1-957/957	===============	0/0	100.00	97.60	vfdb	NP_752610
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	102745	103995	entS	1-1251/1251	===============	0/0	100.00	96.40	vfdb	NP_752609
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	104094	105110	fepD	1-1017/1017	===============	0/0	100.00	96.66	vfdb	NP_752608
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	105107	106099	fepG	1-993/993	===============	0/0	100.00	94.16	vfdb	NP_752607
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	106096	106911	fepC	1-816/816	===============	0/0	100.00	96.32	vfdb	NP_752606
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	108285	112138	entF	1-3854/3882	========/======	2/2	99.25	95.72	vfdb	NP_752604
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	112356	113558	fes	1-1203/1203	===============	0/0	100.00	96.76	vfdb	NP_752602
