#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	50419	51609	emrD	1-1191/1191	===============	0/0	100.00	98.41	card	GG749185.1:116813-118004
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_171_length_1927_cov_74.674679	178	1208	Escherichia_coli_emrE	205-1244/1244	..======/======	4/13	82.72	95.87	card	Z11877.1:1-1245
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_17_length_68092_cov_35.868939	16661	17888	mdtG	1-1228/1228	===============	0/0	100.00	99.02	card	NC_007779:1115841-1117068
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_17_length_68092_cov_35.868939	26518	27727	mdtH	1-1210/1210	===============	0/0	100.00	98.59	card	U00096:1124118-1125327
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_19_length_66876_cov_49.757202	29272	30811	emrY	1-1540/1540	===============	0/0	100.00	98.77	card	D78168:1592-3131
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_19_length_66876_cov_49.757202	30810	31866	emrK	1-1057/1057	===============	0/0	100.00	98.67	card	D78168:537-1593
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_19_length_66876_cov_49.757202	32390	33005	evgA	1-616/616	===============	0/0	100.00	100.00	card	NC_002695:3211892-3212507
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_19_length_66876_cov_49.757202	33009	36603	evgS	1-3595/3595	===============	0/0	100.00	96.97	card	U00096:2484374-2487968
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_1_length_230770_cov_35.309689	42171	43115	leuO	1-945/945	===============	0/0	100.00	98.94	card	NC_000913.3:84368-85313
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_1_length_230770_cov_35.309689	130423	132083	YojI	1-1644/1644	========/======	2/19	99.94	96.99	card	NC_000913.3:1-1645
